description,label,variable,distribution,lower,median,upper,Unit
Establishment cost,Government implementation,intervention_costs_admin,posnorm,1371265500.00 ,,1782645150.00 ,Euro
,Industry compliance,intervention_costs_prod,posnorm,1353124040.00 ,,1791975080.00 ,Euro
,Costs for accompanying campaigns/public information,intervention_costs_info,posnorm,1000000.00 ,,5000000.00 ,Euro
Reduced incidences of,Diabetes,red_diabetes,posnorm,160400.00 ,,285770.00 ,Case
,Obesity,red_obesity,posnorm,1604000.00 ,,2857700.00 ,Case
,Cancer,red_cancer,posnorm,16040.00 ,,28577.00 ,Case
Saved health care costs,Diabetes,saved_diabetes,posnorm,1526835910.00 ,,2724533540.00 ,Euro
,Obesity,saved_obesity,posnorm,152683591.00 ,,272453354.00 ,Euro
,Cancer,saved_cancer,posnorm,1526835910.00 ,,2724533540.00 ,Euro
Coefficient of variation,Coeff. Variation,var_CV,posnorm,,,,
Years from the start of the implementation,Time horizon(years),n_years,const,,,,
,,,,,,,
Summary,Total establishment costs,sum_costs,posnorm,2725389540.00 ,,3579620230.00 ,Euro
,Total health care revenue,sum_benefits,posnorm,3206355411.00 ,,5721520434.00 ,Euro
