description,label,variable,distribution,lower,median,upper,unit
Establishment costs,Government implementation,intervention_costs_admin,posnorm,1371265500.00 ,,1782645150.00 ,Euro
,Industry compliance,intervention_costs_prod,posnorm,1353124040.00 ,,1791975080.00 ,Euro
,Costs for accompanying campaigns/public information,intervention_costs_info,posnorm,1000000.00 ,,5000000.00 ,Euro
Reduced incidences of,Diabetes,red_diabetes,posnorm,155400.00 ,,218100.00 ,Case
,Obesity,red_obesity,posnorm,1604000.00 ,,2857700.00 ,Case
,Cancer,red_cancer,posnorm,16040.00 ,,28577.00 ,Case
Saved health care costs per case,Diabetes,saved_diabetes,posnorm,4524.30 ,,4917.20 ,Euro
,Obesity,saved_obesity,posnorm,95.19 ,,95.34 ,Euro
,Cancer,saved_cancer,posnorm,95189.27 ,,95340.08 ,Euro
Tax income for the government,Tax revenue,revenue_tax,posnorm,19200000.00 ,,19200000000.00 ,Euro
Discount rate (%),Discount rate (%),discount_rate,posnorm,1.00 ,,5.00 ,
